Series_reference,Period,Data_value,Series_title_1
CPIM.SE901,1960.01,45.923461,Food
CPIM.SE901,1960.02,45.498637,Food
CPIM.SE901,1960.03,45.116296,Food
CPIM.SE901,1960.04,45.158779,Food
CPIM.SE901,1960.05,45.286226,Food
CPIM.SE901,1960.06,45.668567,Food
CPIM.SE901,1960.07,46.390767,Food
CPIM.SE901,1960.08,47.112968,Food
CPIM.SE901,1960.09,46.943039,Food
CPIM.SE901,1960.1,47.49531,Food
CPIM.SE901,1960.11,48.599852,Food
CPIM.SE901,1960.12,47.707722,Food
CPIM.SE901,1961.01,47.155451,Food
CPIM.SE901,1961.02,46.645662,Food
CPIM.SE901,1961.03,46.178356,Food
CPIM.SE901,1961.04,46.135873,Food
CPIM.SE901,1961.05,45.923461,Food
CPIM.SE901,1961.06,45.923461,Food
CPIM.SE901,1961.07,46.560697,Food
CPIM.SE901,1961.08,47.835169,Food
CPIM.SE901,1961.09,47.112968,Food
CPIM.SE901,1961.1,47.028004,Food
CPIM.SE901,1961.11,47.877651,Food
CPIM.SE901,1961.12,47.622757,Food
CPIM.SE901,1962.01,47.410345,Food
CPIM.SE901,1962.02,46.943039,Food
CPIM.SE901,1962.03,46.858074,Food
CPIM.SE901,1962.04,46.688144,Food
CPIM.SE901,1962.05,46.730627,Food
CPIM.SE901,1962.06,46.688144,Food
CPIM.SE901,1962.07,46.985521,Food
CPIM.SE901,1962.08,47.197933,Food
CPIM.SE901,1962.09,47.240415,Food
CPIM.SE901,1962.1,47.070486,Food
CPIM.SE901,1962.11,47.835169,Food
CPIM.SE901,1962.12,47.580274,Food
CPIM.SE901,1963.01,47.367863,Food
CPIM.SE901,1963.02,47.028004,Food
CPIM.SE901,1963.03,47.070486,Food
CPIM.SE901,1963.04,47.155451,Food
CPIM.SE901,1963.05,47.49531,Food
CPIM.SE901,1963.06,47.750204,Food
CPIM.SE901,1963.07,47.367863,Food
CPIM.SE901,1963.08,48.175028,Food
CPIM.SE901,1963.09,48.939711,Food
CPIM.SE901,1963.1,49.27957,Food
CPIM.SE901,1963.11,49.27957,Food
CPIM.SE901,1963.12,49.024676,Food
CPIM.SE901,1964.01,49.067158,Food
CPIM.SE901,1964.02,49.364535,Food
CPIM.SE901,1964.03,49.364535,Food
CPIM.SE901,1964.04,49.364535,Food
CPIM.SE901,1964.05,50.086736,Food
CPIM.SE901,1964.06,50.34163,Food
CPIM.SE901,1964.07,50.469077,Food
CPIM.SE901,1964.08,51.531137,Food
CPIM.SE901,1964.09,52.168372,Food
CPIM.SE901,1964.1,51.998443,Food
CPIM.SE901,1964.11,52.975538,Food
CPIM.SE901,1964.12,52.210855,Food
CPIM.SE901,1965.01,52.040925,Food
CPIM.SE901,1965.02,51.955961,Food
CPIM.SE901,1965.03,51.786031,Food
CPIM.SE901,1965.04,51.743548,Food
CPIM.SE901,1965.05,51.701066,Food
CPIM.SE901,1965.06,51.276242,Food
CPIM.SE901,1965.07,51.531137,Food
CPIM.SE901,1965.08,52.423267,Food
CPIM.SE901,1965.09,53.230432,Food
CPIM.SE901,1965.1,52.508232,Food
CPIM.SE901,1965.11,52.720644,Food
